IDC ?,机柜 ?,宿主机 ?,SN ?,是外借,OS?,配置,型号,IP(外网)?,IP(内网)?,ant?,业务名称?,模块名称?,使用人?,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.183,范小军 <fanxiaojun@le.com>,Mobile,,,,10.142.128.183,4,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.15,10.142.128.180,吴小勇 <wuxiaoyong@le.com>,多媒体,,,,10.142.128.180,5,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.147,温冬寒 <wendonghan@le.com>,多媒体,,,,10.142.128.147,6,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.151,王金来 <wangjinlai@le.com>,TV,,,深圳,10.142.128.151,7,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.156,庄锦灿 <zhuangjincan@le.com>,Mobile,,,,10.142.128.156,8,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.149,黄强 <huangqiang@le.com>,Mobile,,,,10.142.128.149,9,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.146,陈奇 <chenqi@le.com>,Mobile,,,深圳,10.142.128.146,10,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.141,钱隆 <qianlong@le.com>,Mobile,,,,10.142.128.141,11,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.150,高文 <gaowen@le.com>,Mobile,,,,10.142.128.150,12,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.153,黄学敏 <huangxuemin@le.com>,Mobile,,,,10.142.128.153,13,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.142,汤志伟 <tangzhiwei@le.com>,Mobile,,,,10.142.128.142,14,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.144,牛素芬 <niusufen@letv.com>,Mobile,,,,10.142.128.144,15,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.148,曹其鹏 <caoqipeng@le.com>,Mobile,,,,10.142.128.148,16,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.155,石伟兴 <shiweixing@le.com>,VR,,,,10.142.128.155,17,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.15,夏维 <xiawei@le.com>,TV,,,,10.142.128.15,18,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.152,黄波 <huangbo@letv.com>,VR,,,,10.142.128.152,19,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.14,Hong Cao(曹虹) <caohong@le.com>,多媒体,,,,10.142.128.14,20,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.138,黄波 <huangbo@letv.com>,VR,,,,10.142.128.138,21,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.10,Duran DU(杜书印) <dushuyin@le.com>,EUI Auto,,,,10.142.128.10,22,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.11,安立久 <anlijiu@le.com>,EUI Auto,,,,10.142.128.11,23,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.12,廖旭旺 <liaoxuwang@le.com>,EUI Auto,,,,10.142.128.12,24,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.13,韩昆鹏 <hankunpeng@le.com>,EUI Auto,,,,10.142.128.13,25,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.143,卫福兴 <weifuxing@le.com>,车机,,,,10.142.128.143,26,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.137,余绍鹏 <yushaopeng@le.com>,EUI TV,,,,10.142.128.137,27,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.139,仝永辉 <tongyonghui@le.com>,EUI TV,,,,10.142.128.139,28,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.140,潘峰 <panfeng@le.com>,EUI TV,,,,10.142.128.140,29,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.136,许端 <xuduan@le.com>,EUI TV,,,,10.142.128.136,30,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.145,闫涛 <yantao@le.com>,EUI TV,,,,10.142.128.145,31,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.154,于水龙 <yushuilong@le.com>,EUI TV,,,,10.142.128.154,32,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.135,肖希哲 <xiaoxizhe@le.com>,EUI TV,,,,10.142.128.135,33,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.100,Chengzhi Gong(宫成志) <gongcz@le.com>,EUI TV,,,,10.142.128.100,34,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.101,黄鹏 <huangpeng@le.com>,EUI TV,,,,10.142.128.101,35,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.105,张贺 <zhanghe@le.com>,EUI TV,,,,10.142.128.105,36,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.99,赵明阳 <zhaomingyang@le.com>,EUI TV,,,,10.142.128.99,37,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.97,汤海波 <tanghaibo@le.com>,EUI VR,,,,10.142.128.97,38,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.98,初超 <chuchao@le.com>,EUI VR,,,,10.142.128.98,39,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.25,10.142.128.96,高国威 <gaoguowei@le.com>,EUI VR,,,,10.142.128.96,40,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.88,孙鹏 <sunpeng@le.com>,Mobile,,,,10.142.128.88,41,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.85,郭鹏宇 <guopengyu@le.com>,TV,,,,10.142.128.85,42,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.86,朱宏伟 <zhuhongwei@le.com>,EUI Mobile,,,,10.142.128.86,43,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.17,10.142.128.89,周延献 <zhouyanxian@le.com>,EUI Mobile,,,,10.142.128.89,44,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.15,10.142.128.84,徐磊1 <xulei1@le.com>,EUI Mobile,,,,10.142.128.84,45,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.90,后国超 <houguochao@le.com>,EUI Mobile,,,,10.142.128.90,46,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.79,黄智昊 <huangzhihao@le.com>,EUI Mobile,,,,10.142.128.79,47,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.78,冯紫华 <fengzihua@le.com>,EUI Mobile,,,,10.142.128.78,48,致新业务,致新android编译,Tao LEI（雷涛）(leitao@letv.com),,,,
,,,,,,,,,,,,,,,,,
2016/3/29 - 2.5x8,SmWa5boh3zQqKA6JevL6,,,,,,,,,,,,,,,,
IDC ?,机柜 ?,宿主机 ?,SN ?,是外借,OS,配置  ,型号?,IP(外网)?,IP(内网)?,ant?,业务名称?,模块名称?,使用人?,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.76,王海路 <wanghailu@le.com>,EUI Mobile,,kvm,,10.142.128.76,1,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.17,10.142.128.74,李文环 <liwenhuan@le.com>,EUI Mobile,,kvm,,10.142.128.74,2,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.15,10.142.128.77,王璟瑶 <wangjingyao@le.com>,EUI Mobile,,kvm,,10.142.128.77,3,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.15,10.142.128.87,赵万祥 <zhaowanxiang@le.com>,EUI Mobile,,kvm,,10.142.128.87,4,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.73,高志鹏 <gaozhipeng@le.com>,EUI Mobile,,kvm,,10.142.128.73,5,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.72,王慧松 <wanghuisong@le.com>,EUI Mobile,,kvm,,10.142.128.72,6,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.82,                       喻满意 <yumanyi@le.com>,SCM,,kvm,,10.142.128.82,7,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.17,10.142.128.71,江丹 <jiangdan@le.com>,EUI Mobile,,kvm,,10.142.128.71,8,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.15,10.142.128.80,薛秋实 <xueqiushi@le.com>,EUI Mobile,,kvm,,10.142.128.80,9,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.17,10.142.128.83,Honglei Yu(于泓磊) <yuhonglei@le.com>,多媒体,,kvm,,10.142.128.83,10,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.69,Jianqiang Tang(唐建强) <tangjianqiang@le.com>,Mobile,,kvm,,10.142.128.69,11,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.70,Kun Du(杜鲲) <dukun@le.com>,TV,,kvm,,10.142.128.70,12,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.66,Xuyu Wang (王旭宇) <wangxuyu@le.com>,TV,,kvm,,10.142.128.66,13,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.17,10.142.128.68,雷涛 <leitao@le.com>,SCM,,kvm,,10.142.128.68,14,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.15,10.142.128.67, 乔晓琳 <qiaoxiaolin@le.com>,第三方,,kvm,,10.142.128.67,15,石雪峰,致新android编译,,VNC：MonApr,andbase：MonApr,,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.75, 乔晓琳 <qiaoxiaolin@le.com>,第三方,,kvm,,10.142.128.75,16,石雪峰,致新android编译,,VNC：MonApr,andbase：MonApr,,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.65, 乔晓琳 <qiaoxiaolin@le.com>,第三方,,kvm,,10.142.128.65,17,石雪峰,致新android编译,,VNC：MonApr,andbase：MonApr,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.63,Jiangang Zhao(赵建刚) <zhaojiangang@le.com>,多媒体,,kvm,,10.142.128.63,18,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.64,Mingyuan Zhang(张明远) <zhangmingyuan@le.com>,TV,,kvm,,10.142.128.64,19,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.17,10.142.128.61,Xuefeng SHI（石雪峰） <shixuefeng@le.com>,SCM,,kvm,,10.142.128.61,20,致新业务,致新android编译,,,,,
,,,,,,,,,,,,,,,,,
2016/4/27 - 1.25x8=10,SmWa5boh3zQqKA6JevL6,,,,,,,,,,,,,,,,
IDC  ,机柜  ,宿主机  ,SN  ,是外借,OS ,配置  ,型号 ,IP(外网) ,IP(内网) ,nat ,业务名称 ,模块名称 ,使用人?,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.15,10.142.128.62, 贾世坤 <jiashikun@le.com>,第三方,,kvm,,10.142.128.62,,贾世坤,致新android编译，MTK代码读取,,VNC：WenMay,andbase：WenMay,samba：WenMay,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.81, 贾世坤 <jiashikun@le.com>,第三方,,kvm,,10.142.128.81,,贾世坤,致新android编译，MTK代码读取,,VNC：WenMay,andbase：WenMay,samba：WenMay,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.58, 贾世坤 <jiashikun@le.com>,第三方,,kvm,,10.142.128.58,,贾世坤,致新android编译，MTK代码读取,,VNC：WenMay,andbase：WenMay,samba：WenMay,
北京市-大兴区-亦庄电信通,E17,10.142.141.28,10.142.128.54, 乔晓琳 <qiaoxiaolin@le.com>,第三方,,kvm,,10.142.128.54,,致新业务,致新android编译,富士康员工,VNC：SunJun,andbase：SunJun,samba：SunJun,
北京市-大兴区-亦庄电信通,E17,10.142.141.26,10.142.128.59, 乔晓琳 <qiaoxiaolin@le.com>,第三方,,kvm,,10.142.128.59,,致新业务,致新android编译,富士康员工,VNC：SunJun,andbase：SunJun,samba：SunJun,
北京市-大兴区-亦庄电信通,E17,10.142.141.24,10.142.128.60,Hongwang Li(李洪旺) <lihongwang@le.com>,EUI Mobile,,kvm,,10.142.128.60,,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E17,10.142.141.27,10.142.128.57,,,V2 [CPU:8C 内存:16G 硬盘:200G ||高配云主机 ],kvm,,10.142.128.57,,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.18,10.142.128.52,景韵 <jingyun@le.com>,SCM,V2 [CPU:8C 内存:16G 硬盘:200G ||高配云主机 ],kvm,,10.142.128.52,,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.16,10.142.128.49,,,V2 [CPU:8C 内存:16G 硬盘:200G ||高配云主机 ],kvm,,10.142.128.49,,致新业务,致新android编译,,,,,
北京市-大兴区-亦庄电信通,E16,10.142.141.14,10.142.128.51,Manish Kumar <manishkumar@le.com>,SCM,,kvm,India,10.142.128.51,,致新业务,致新android编译,,,,,
,,,,,,,,,,,,,,,,,
2016/5/4  - 25x8=200,SmWa5boh3zQqKA6JevL6,,,,,,,,,,,,,虚机类型分类,A1-1；A1-2；A2;等,,
IDC  ,机柜  ,宿主机  ,SN  ,是外借  ,OS ,配置  ,型号 ,IP(外网) ,IP(内网) ,nat ,业务名称 ,模块名称 ,使用人?,,,,
北京市-海淀区-Azure-北京,,10.142.141.37,10.142.129.100,Emma Ren <renyan@le.com>,SCM,,azure,,10.142.129.100,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.54,10.142.129.101,Mingyuan Liu (刘明远) <liumingyuan@le.com>,SCM,,azure,,10.142.129.101,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.38,10.142.129.102,Dan Liu (刘丹11) <liudan11@le.com>,SCM,,azure,,10.142.129.102,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.33,10.142.129.103,Nina Xiao（肖莹） <xiaoying@le.com>,SCM,,azure,,10.142.129.103,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.19,10.142.129.104,Chao Zheng (郑超) <zhengchao@le.com>,SCM,,azure,,10.142.129.104,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.54,10.142.129.105,Chao Zheng (郑超) <zhengchao@le.com>,SCM,,azure,,10.142.129.105,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.52,10.142.129.106,David Lee(李鹏) <davidlee@le.com>,SCM,,azure,,10.142.129.106,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.19,10.142.129.107,Xiaolin Qiao(乔晓琳) <qiaoxiaolin@le.com>,SCM,,azure,,10.142.129.107,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.35,10.142.129.108,Yun Jing (景韵) <jingyun@le.com>,SCM,,azure,,10.142.129.108,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.39,10.142.129.109,Xi Wang(王希颋) <wangxiting@le.com>,SCM,,azure,,10.142.129.109,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.32,10.142.129.110,Leilei Wang(王磊磊) <wangleilei@le.com>,TV,,azure,,10.142.129.110,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.51,10.142.129.111,Bojian Xiao (肖勃剑) <xiaobojian@le.com>,TV,,azure,,10.142.129.111,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.55,10.142.129.112,Jiaming Huang (黄家洺) <huangjiaming@le.com>,TV,,azure,,10.142.129.112,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.32,10.142.129.113,Shihui Qu(曲仕辉) <qushihui@le.com>,TV,,azure,,10.142.129.113,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.38,10.142.129.114,Pan Luo (罗攀) <luopan@le.com>,TV,,azure,,10.142.129.114,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.53,10.142.129.115,Jixiang Zhan(詹吉祥) <zhanjixiang@le.com>,TV,,azure,,10.142.129.115,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.34,10.142.129.116,胡强 <huqiang1@le.com>,TV,V2 [CPU:8C 内存:16G 硬盘:200G ||高配云主机 ],azure,预留,10.142.129.116,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.34,10.142.129.117,蔡胜强 <caishengqiang@le.com>,TV,V2 [CPU:8C 内存:16G 硬盘:200G ||高配云主机 ],azure,预留,10.142.129.117,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.36,10.142.129.118,钱磊 <qianlei@le.com>,TV,V2 [CPU:8C 内存:16G 硬盘:200G ||高配云主机 ],azure,预留,10.142.129.118,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.38,10.142.129.119,Qibing Hua(华奇兵) <huaqibing@le.com>,Mobile,,azure,,10.142.129.119,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.53,10.142.129.120,Liwei Yang (杨力伟) <yangliwei@le.com>,Mobile,,azure,,10.142.129.120,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.39,10.142.129.121,Ningbo Zhou(周宁波) <zhouningbo@le.com>,Mobile,,azure,,10.142.129.121,,致新业务,致新android编译,,,,,
北京市-海淀区-Azure-北京,,10.142.141.55,10.142.129.122,Xufeng An(安旭峰) <anxufeng@le.com>,Mobile,,azure,,10.142.129.122,,致新业务,致新android编译,,,,,
